%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1509044729785617308,2784,1509044729784765286,,0,1,37.4348506667,-122.133045333,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044730785090946,2785,1509044730783901205,,0,1,37.4348506667,-122.133045333,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044731784918438,2786,1509044731784618399,,0,1,37.4348506667,-122.133045333,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044732784911333,2787,1509044732782765543,,0,1,37.434848,-122.133056,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044733785046099,2788,1509044733784293790,,0,1,37.4348346667,-122.133077333,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044734797112221,2789,1509044734795042519,,0,1,37.4348186667,-122.133109333,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044735785271386,2790,1509044735784144781,,0,1,37.4348053333,-122.133130667,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044736785485785,2791,1509044736784298398,,0,1,37.4348026667,-122.133141333,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044737785484314,2792,1509044737784940952,,0,1,37.4347973333,-122.133152,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044738798082558,2793,1509044738795547648,,0,1,37.4347813333,-122.133184,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044739785314227,2794,1509044739784680969,,0,1,37.4347626667,-122.133216,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044740786940653,2795,1509044740785236099,,0,1,37.4347466667,-122.133248,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044741785501594,2796,1509044741784951773,,0,1,37.434736,-122.13328,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044742785338334,2797,1509044742785083135,,0,1,37.4347306667,-122.133312,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044743785923476,2798,1509044743785638834,,0,1,37.4347306667,-122.133344,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044744785565145,2799,1509044744785353247,,0,1,37.4347413333,-122.133376,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044745785872600,2800,1509044745784927611,,0,1,37.43476,-122.133397333,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044746786108437,2801,1509044746785635335,,0,1,37.434784,-122.133418667,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044747785866543,2802,1509044747785166498,,0,1,37.4348106667,-122.133418667,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044748786386505,2803,1509044748785303869,,0,1,37.4348346667,-122.133418667,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044749786188405,2804,1509044749785435659,,0,1,37.434856,-122.133418667,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044750786312845,2805,1509044750785150106,,0,1,37.4348693333,-122.133408,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044751778600690,2806,1509044751776294618,,0,1,37.4348773333,-122.133397333,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044752780273202,2807,1509044752775839861,,0,1,37.4348773333,-122.133397333,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044753778320648,2808,1509044753776004434,,0,1,37.434896,-122.133386667,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044754786282852,2809,1509044754785692130,,0,1,37.4349226667,-122.133354667,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044755786909512,2810,1509044755785819552,,0,1,37.4349493333,-122.133333333,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044756786127767,2811,1509044756785377706,,0,1,37.4349653333,-122.133312,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044757786320539,2812,1509044757785530748,,0,1,37.4349706667,-122.133301333,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044758800652189,2813,1509044758796247129,,0,1,37.4349706667,-122.133301333,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044759785927793,2814,1509044759785358250,,0,1,37.4349706667,-122.133301333,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509044760779295371,2815,1509044760775913541,,0,1,37.4349706667,-122.133301333,-42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
